Country/Region,Total Cases,Total Recoveries,Total Deaths
China,81251,71266,3253
Italy,47021,4440,4032
Spain,20410,1588,1043
Germany,19848,180,67
Iran,19644,6745,1433
US,19102,17,244
France,12726,12,450
"Korea, South",8652,1540,94
Switzerland,5294,15,54
United Kingdom,4014,67,178
Netherlands,3003,2,107
Austria,2388,9,6
Belgium,2257,31,37
Norway,1914,1,7
Sweden,1639,16,16
Denmark,1337,1,9
Malaysia,1030,87,3
Portugal,1020,5,6
Japan,963,191,33
Canada,943,9,12
Czechia,833,4,0
Australia,799,26,7
Brazil,793,2,11
Cruise Ship,712,325,7
Israel,705,14,0
Ireland,683,5,3
Pakistan,501,13,3
Greece,495,19,6
Luxembourg,484,0,4
Qatar,470,10,0
Finland,450,10,0
Chile,434,6,0
Poland,425,13,5
Iceland,409,8,5
Singapore,385,124,0
Indonesia,369,15,32
Ecuador,367,0,5
Turkey,359,0,4
Saudi Arabia,344,8,0
Slovenia,341,0,1
Thailand,322,42,1
Romania,308,25,0
Bahrain,285,100,1
Egypt,285,39,8
Estonia,283,1,0
Russia,253,9,1
India,244,20,5
Peru,234,1,3
Philippines,230,8,19
Iraq,208,49,17
South Africa,202,0,0
Mexico,164,4,1
Lebanon,163,4,4
Kuwait,159,18,0
San Marino,144,4,14
United Arab Emirates,140,31,2
Panama,137,0,1
Slovakia,137,0,1
Armenia,136,1,0
Taiwan*,135,26,2
Serbia,135,1,1
Croatia,128,5,1
Argentina,128,3,3
Colombia,128,1,0
Bulgaria,127,0,3
Latvia,111,1,0
Uruguay,94,0,0
Vietnam,91,16,0
Algeria,90,32,11
Bosnia and Herzegovina,89,2,0
Costa Rica,89,0,1
Hungary,85,2,3
Jordan,85,1,0
Brunei,78,1,0
Morocco,77,1,3
Andorra,75,1,0
Sri Lanka,73,3,0
Dominican Republic,72,0,2
Albania,70,0,2
Belarus,69,5,0
North Macedonia,67,1,0
Cyprus,67,0,0
Moldova,66,1,1
Malta,64,2,0
Tunisia,54,0,1
Cambodia,51,1,0
Lithuania,49,1,0
Kazakhstan,49,0,3
Oman,48,12,0
Azerbaijan,44,6,1
Georgia,43,1,0
Venezuela,42,0,0
Burkina Faso,40,0,1
New Zealand,39,0,0
Senegal,38,2,0
Uzbekistan,33,0,0
Martinique,32,0,1
Ukraine,29,0,3
Liechtenstein,28,0,0
Afghanistan,24,1,0
Honduras,24,0,0
Bangladesh,20,3,1
Cameroon,20,0,0
Congo (Kinshasa),18,0,0
Rwanda,17,0,0
Ghana,16,0,0
Cuba,16,0,1
Jamaica,16,2,1
Bolivia,15,0,0
Montenegro,14,0,0
Maldives,13,0,0
Paraguay,13,0,0
Mauritius,12,0,0
Nigeria,12,1,0
Guatemala,12,0,1
Monaco,11,0,0
Trinidad and Tobago,9,0,0
Cote d'Ivoire,9,1,0
Ethiopia,9,0,0
Togo,9,1,0
Seychelles,7,0,0
Kenya,7,0,0
Guyana,7,0,1
Kyrgyzstan,6,0,0
Equatorial Guinea,6,0,0
Tanzania,6,0,0
Mongolia,6,0,0
Barbados,5,0,0
Suriname,4,0,0
Central African Republic,3,0,0
Gabon,3,0,1
"Bahamas, The",3,0,0
Congo (Brazzaville),3,0,0
Namibia,3,0,0
Madagascar,3,0,0
Benin,2,0,0
Zambia,2,0,0
Saint Lucia,2,0,0
Sudan,2,0,1
Liberia,2,0,0
Mauritania,2,0,0
Haiti,2,0,0
Kosovo,2,0,0
Bhutan,2,0,0
Antigua and Barbuda,1,0,0
Cabo Verde,1,0,0
Djibouti,1,0,0
Chad,1,0,0
Angola,1,0,0
Papua New Guinea,1,0,0
El Salvador,1,0,0
Eswatini,1,0,0
Fiji,1,0,0
Niger,1,0,0
"Gambia, The",1,0,0
Guinea,1,0,0
Somalia,1,0,0
Holy See,1,0,0
Saint Vincent and the Grenadines,1,0,0
Nepal,1,1,0
Nicaragua,1,0,0
Zimbabwe,1,0,0
