Country,Total Cases,Total Recoveries,Total Deaths
China,7754,6882,730
Canada,250,194,38
Singapore,206,172,32
US,75,67,0
Vietnam,63,58,5
Philippines,14,12,2
Germany,10,9,0
Mongolia,9,9,0
Thailand,9,7,2
France,7,6,1
Australia,5,5,0
Malaysia,5,3,2
Italy,4,4,0
United Kingdom,4,4,0
India,3,3,0
"Korea, South",3,3,0
Sweden,3,3,0
Indonesia,2,2,0
Belgium,1,0,0
New Zealand,1,1,0
Finland,1,1,0
Poland,1,0,0
Ireland,1,1,0
Russia,1,0,0
Colombia,1,1,0
Slovenia,1,0,0
South Africa,1,0,1
Spain,1,1,0
Kuwait,1,1,0
Switzerland,1,1,0
Bulgaria,1,0,0
Brazil,1,1,0
Japan,1,0,0
Romania,1,1,0
